,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Заглушка 108х8 эллиптическая ГОСТ 17379-2001,09Г2С,707.13,Армасети Нск (383) 209-56-40,,Новосибирск,108х8,Заглушка,Металлопрокат
0,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,158.40,Армасети Мск (495) 137-58-03,,Москва,114х4,Заглушка,Металлопрокат
1,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,158.40,Армасети Екб (343) 226-09-76,,Екатеринбург,114х4,Заглушка,Металлопрокат
2,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,158.40,Армасети Нск (383) 209-56-40,,Новосибирск,114х4,Заглушка,Металлопрокат
3,Заглушка 114х4 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,114х4,Заглушка,Металлопрокат
0,Заглушка 114х8 эллиптическая ГОСТ 17379-2001,ст20,496.54,Армасети Екб (343) 226-09-76,,Екатеринбург,114х8,Заглушка,Металлопрокат
0,Заглушка 133х4 (125) эллиптическая ГОСТ 17379-2001,ст20,188.00,Армасети Мск (495) 137-58-03,,Москва,133х4,Заглушка,Металлопрокат
1,Заглушка 133х4 (125) эллиптическая ГОСТ 17379-2001,ст20,188.00,Армасети Екб (343) 226-09-76,,Екатеринбург,133х4,Заглушка,Металлопрокат
2,Заглушка 133х4 (125) эллиптическая ГОСТ 17379-2001,ст20,214.89,Армасети Нск (383) 209-56-40,,Новосибирск,133х4,Заглушка,Металлопрокат
3,Заглушка 133х4 (125) эллиптическая ГОСТ 17379-2001,09Г2С,291.75,Армасети Нск (383) 209-56-40,,Новосибирск,133х4,Заглушка,Металлопрокат
4,Заглушка 133х4 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,133х4,Заглушка,Металлопрокат
0,Заглушка 133х8 (125) эллиптическая ГОСТ 17379-2001,ст20,621.0,Армасети Нск (383) 209-56-40,,Новосибирск,133х8,Заглушка,Металлопрокат
0,Заглушка 159х4.5 эллиптическая ГОСТ 17379-2001,ст20,363.00,Армасети Екб (343) 226-09-76,,Екатеринбург,159х4.5,Заглушка,Металлопрокат
1,Заглушка 159х4.5 эллиптическая ГОСТ 17379-2001,ст20,363.00,Армасети Нск (383) 209-56-40,,Новосибирск,159х4.5,Заглушка,Металлопрокат
2,Заглушка 159х4.5 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,159х4.5,Заглушка,Металлопрокат
0,Заглушка 159х6 эллиптическая ГОСТ 17379-2001,09Г2С,936.0,Армасети Екб (343) 226-09-76,,Екатеринбург,159х6,Заглушка,Металлопрокат
0,Заглушка 159х8 эллиптическая ГОСТ 17379-2001,ст20,624.0,Армасети Екб (343) 226-09-76,,Екатеринбург,159х8,Заглушка,Металлопрокат
0,Заглушка 219х6 (200) эллиптическая ГОСТ 17379-2001,ст20,633.60,Армасети Нск (383) 209-56-40,,Новосибирск,219х6,Заглушка,Металлопрокат
