,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Муфта ПНД 63х2 PN 25 SDR 7.4 ПЭ 100 электросварная ВР EUROSTANDARD,5 060.80,Сантехкомплект Мск (495) 645-00-00,,Москва,63х2,Муфта ПНД,Металлопрокат
0,Муфта ПНД 75 SDR 11 электросварная TEGA,351.60,МК Промстройметалл Мск (495) 617-17-17,,Москва,75,Муфта ПНД,Металлопрокат
1,Муфта ПНД 75 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,381.20,Сантехкомплект Мск (495) 645-00-00,,Москва,75,Муфта ПНД,Металлопрокат
2,Муфта ПНД 75 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL75A,753.80,Сантехкомплект Мск (495) 645-00-00,,Москва,75,Муфта ПНД,Металлопрокат
3,Муфта ПНД 75 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,886.10,Сантехкомплект Мск (495) 645-00-00,,Москва,75,Муфта ПНД,Металлопрокат
4,Муфта ПНД 75 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,1 220.90,Сантехкомплект Мск (495) 645-00-00,,Москва,75,Муфта ПНД,Металлопрокат
0,Муфта ПНД 75х2 1/2 PN 25 SDR 7.4 ПЭ 100 электросварная ВР EUROSTANDARD,10 765.70,Сантехкомплект Мск (495) 645-00-00,,Москва,75х2 1/2,Муфта ПНД,Металлопрокат
0,Муфта ПНД 90 SDR 11 электросварная TEGA,396.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,90,Муфта ПНД,Металлопрокат
1,Муфта ПНД 90 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,491.90,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Муфта ПНД,Металлопрокат
2,Муфта ПНД 90 SDR 11 электросварная Газ,729.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,90,Муфта ПНД,Металлопрокат
3,Муфта ПНД 90 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL90A,847.80,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Муфта ПНД,Металлопрокат
4,Муфта ПНД 90 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,972.60,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Муфта ПНД,Металлопрокат
5,Муфта ПНД 90 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,1 366.60,Сантехкомплект Мск (495) 645-00-00,,Москва,90,Муфта ПНД,Металлопрокат
0,Муфта ПНД 90х3 PN 25 SDR 7.4 ПЭ 100 электросварная ВР EUROSTANDARD,13 066.10,Сантехкомплект Мск (495) 645-00-00,,Москва,90х3,Муфта ПНД,Металлопрокат
0,Муфта ПНД 110 SDR 11 электросварная TEGA,609.44,МК Промстройметалл Мск (495) 617-17-17,,Москва,110,Муфта ПНД,Металлопрокат
1,Муфта ПНД 110 PN 16 SDR 11 ПЭ 100 электросварная Type A TEGA,683.90,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Муфта ПНД,Металлопрокат
2,Муфта ПНД 110 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,1 028.90,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Муфта ПНД,Металлопрокат
3,Муфта ПНД 110 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL110A,1 129.70,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Муфта ПНД,Металлопрокат
4,Муфта ПНД 110 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,1 198.90,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Муфта ПНД,Металлопрокат
5,Муфта ПНД 110 PN 25 SDR 7.4 ПЭ 100 электросварная EUROSTANDARD,1 518.20,Сантехкомплект Мск (495) 645-00-00,,Москва,110,Муфта ПНД,Металлопрокат
0,Муфта ПНД 110х4 PN 25 SDR 7.4 ПЭ 100 электросварная ВР EUROSTANDARD,18 955.00,Сантехкомплект Мск (495) 645-00-00,,Москва,110х4,Муфта ПНД,Металлопрокат
0,Муфта ПНД 125 SDR 11 электросварная TEGA,833.30,МК Промстройметалл Мск (495) 617-17-17,,Москва,125,Муфта ПНД,Металлопрокат
