,Наименование,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Арматура Ат1000 10,6.7,75 500,,УРАЛСИБМЕТ Ирк (800) 505-69-45,,Иркутск,10,Арматура Ат1000,Металлопрокат
0,Арматура Ат1000 12 2ф,11.7,72 100 >3т,72 100 <3т,ЕВРАЗ Маркет Ирк (800) 511-09-53,,Иркутск,12,Арматура Ат1000,Металлопрокат
1,Арматура Ат1000 12,11.7,82 000,,УРАЛСИБМЕТ Чит (800) 505-69-45,,Чита,12,Арматура Ат1000,Металлопрокат
