,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
6,Неразъемное соед. полиэтилен-сталь 63/57 1х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.5 м,2 500.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
7,Неразъемное соед. полиэтилен-сталь 63/57 1х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.8 м,2 700.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
8,Неразъемное соед. полиэтилен-сталь 63/57 1.5х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.5 м,2 900.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
9,Неразъемное соед. полиэтилен-сталь 63/57 1.5х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.8 м,3 100.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
10,Неразъемное соед. полиэтилен-сталь 63/57 2х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.5 м,3 200.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
11,Неразъемное соед. полиэтилен-сталь 63/57 2х2 Цокольное ЦНСПС ПЭ 100 SDR11 с футляром ПЭ 110 L-0.8 м,3 400.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,63/57,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 75/76 НСПС ПЭ 100 SDR11,686.0,МК Промстройметалл Мск (495) 617-17-17,,Москва,75/76,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 90/89 НСПС ПЭ 100 SDR11,840.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,90/89,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 90/89 спигот ПЭ100 SDR11,1 507.80,Сантехкомплект Мск (495) 645-00-00,,Москва,90/89,Неразъемное соед. полиэтилен-сталь,Металлопрокат
2,Неразъемное соед. полиэтилен-сталь 90/89 НСПС ПЭ 100 SDR11,1 569.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,90/89,Неразъемное соед. полиэтилен-сталь,Металлопрокат
3,Неразъемное соед. полиэтилен-сталь 90/89 НСПС ПЭ 100 SDR11,1 677.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,90/89,Неразъемное соед. полиэтилен-сталь,Металлопрокат
4,Неразъемное соед. полиэтилен-сталь 90/89 НСПС ПЭ 100 SDR11,1 788.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,90/89,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 90/108 спигот ПЭ100 SDR17,1 772.00,Сантехкомплект Мск (495) 645-00-00,,Москва,90/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 110/108 НСПС ПЭ 100 SDR11,1 180.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,110/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 110/108 спигот ПЭ100 SDR17,1 728.60,Сантехкомплект Мск (495) 645-00-00,,Москва,110/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
2,Неразъемное соед. полиэтилен-сталь 110/108 спигот ПЭ100 SDR11,2 000.30,Сантехкомплект Мск (495) 645-00-00,,Москва,110/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
3,Неразъемное соед. полиэтилен-сталь 110/108 НСПС ПЭ 100 SDR11,2 178.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,110/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
4,Неразъемное соед. полиэтилен-сталь 110/108 НСПС ПЭ 100 SDR11,2 322.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,110/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
5,Неразъемное соед. полиэтилен-сталь 110/108 НСПС ПЭ 100 SDR11,2 466.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,110/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 125/108 НСПС ПЭ 100 SDR11,1 350.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,125/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 125/108 спигот ПЭ100 SDR11,3 004.60,Сантехкомплект Мск (495) 645-00-00,,Москва,125/108,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 140/133 НСПС ПЭ 100 SDR11,2 318.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,140/133,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 160/159 НСПС ПЭ 100 SDR11,2 980.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,160/159,Неразъемное соед. полиэтилен-сталь,Металлопрокат
1,Неразъемное соед. полиэтилен-сталь 160/159 спигот ПЭ100 SDR17,4 034.80,Сантехкомплект Мск (495) 645-00-00,,Москва,160/159,Неразъемное соед. полиэтилен-сталь,Металлопрокат
2,Неразъемное соед. полиэтилен-сталь 160/159 спигот ПЭ100 SDR11,4 537.30,Сантехкомплект Мск (495) 645-00-00,,Москва,160/159,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 180/159 НСПС ПЭ 100 SDR11,3 986.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,180/159,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 200/168 НСПС ПЭ 100 SDR11,5 510.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,200/168,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 200/219 НСПС ПЭ 100 SDR11,6 077.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,200/219,Неразъемное соед. полиэтилен-сталь,Металлопрокат
0,Неразъемное соед. полиэтилен-сталь 225/219 НСПС ПЭ 100 SDR11,6 100.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,225/219,Неразъемное соед. полиэтилен-сталь,Металлопрокат
