,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Бочонок оцинк. 20,,32.71,Армасети Нск (383) 209-56-40,,Новосибирск,20,Бочонок оцинк.,Металлопрокат
0,Бочонок оцинк. 25,,46.95,Армасети Нск (383) 209-56-40,,Новосибирск,25,Бочонок оцинк.,Металлопрокат
0,Бочонок оцинк. 32,,69.56,Армасети Нск (383) 209-56-40,,Новосибирск,32,Бочонок оцинк.,Металлопрокат
0,Бочонок оцинк. 40,,85.22,Армасети Нск (383) 209-56-40,,Новосибирск,40,Бочонок оцинк.,Металлопрокат
