,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Крестовина оцинк. 15,Чугун,135.1,Армасети Нск (383) 209-56-40,,Новосибирск,15,Крестовина оцинк.,Металлопрокат
0,Крестовина оцинк. 20,Чугун,205.3,Армасети Нск (383) 209-56-40,,Новосибирск,20,Крестовина оцинк.,Металлопрокат
0,Крестовина оцинк. 32,Чугун,339.3,Армасети Нск (383) 209-56-40,,Новосибирск,32,Крестовина оцинк.,Металлопрокат
0,Крестовина оцинк. 40,Чугун,451.4,Армасети Нск (383) 209-56-40,,Новосибирск,40,Крестовина оцинк.,Металлопрокат
